generacion,mejor_coste,precision
1,0.19999999999999996,0.8
2,0.19999999999999996,0.8
3,0.19999999999999996,0.8
4,0.19999999999999996,0.8
5,0.19999999999999996,0.8
6,0.19999999999999996,0.8
7,0.19999999999999996,0.8
8,0.19999999999999996,0.8
9,0.19999999999999996,0.8
10,0.19999999999999996,0.8
11,0.19999999999999996,0.8
12,0.19999999999999996,0.8
13,0.19999999999999996,0.8
14,0.19999999999999996,0.8
15,0.19999999999999996,0.8
16,0.19999999999999996,0.8
17,0.19999999999999996,0.8
