net,optimizer,min_max_ut,rep,seed,size_gen,n_decision_rules,mode,stop_generation,best_fitness,best_accuracy,mean_accuracy,mse_chance,mse_utility
bypass2,keda,False,3,45,400,4,both,8,0.0,100.0,71.625,0.8340937577901126,10.720421729296085
bypass2,keda,False,4,46,400,4,both,8,0.0,100.0,78.925,0.5993537187570193,11.693831355082178
bypass2,keda,False,5,47,400,4,both,8,0.0,100.0,77.4375,0.7488024494058136,9.873312951537304
bypass2,keda,False,6,48,400,4,both,9,0.0,100.0,80.1625,0.5499728248188053,11.693837437854093
bypass2,keda,False,7,49,400,4,both,6,0.0,100.0,67.2875,0.7000669038946219,7.897876389519733
bypass2,keda,False,8,50,400,4,both,6,0.0,100.0,65.7,0.6883124040399166,7.80926379999956
bypass2,keda,False,9,51,400,4,both,7,0.0,100.0,73.325,0.9113019538880152,6.843532192652461
nhlv1,umda,True,0,42,50,13,utility_only,11,0.0,80.59701492537313,72.98507462686567,0.0,25.52806853353912
nhlv1,umda,True,1,43,50,13,utility_only,53,5.324171914899978e-05,82.08955223880598,77.97014925373135,0.0,27.962131332638293
nhlv1,umda,True,2,44,50,13,utility_only,12,0.0,85.07462686567165,74.35820895522389,0.0,24.07074161800968
nhlv1,umda,True,3,45,50,13,utility_only,10,0.0,83.5820895522388,67.7910447761194,0.0,23.470069390004127
nhlv1,umda,True,4,46,50,13,utility_only,11,0.0,86.56716417910447,77.8507462686567,0.0,24.88273088379557
nhlv1,umda,True,5,47,50,13,utility_only,10,0.0,85.07462686567165,66.41791044776119,0.0,25.69636261249357
nhlv1,umda,True,6,48,50,13,utility_only,9,0.0,80.59701492537313,68.71641791044776,0.0,25.032320127920634
nhlv1,umda,True,7,49,50,13,utility_only,35,0.0,86.56716417910447,80.50746268656717,0.0,24.404183057185797
nhlv1,umda,True,8,50,50,13,utility_only,31,0.0,82.08955223880598,78.53731343283582,0.0,29.20520134976069
nhlv1,umda,True,9,51,50,13,utility_only,55,0.0,83.5820895522388,78.41791044776119,0.0,25.986132730775257
nhlv1,umda,False,0,42,50,13,utility_only,14,0.0,82.08955223880598,67.73134328358209,0.0,25.90727447853485
nhlv1,umda,False,1,43,50,13,utility_only,41,0.0,71.64179104477611,68.8955223880597,0.0,29.68698407765489
nhlv1,umda,False,2,44,50,13,utility_only,14,0.0,88.05970149253731,79.91044776119402,0.0,24.106411001613598
nhlv1,umda,False,3,45,50,13,utility_only,11,0.0,86.56716417910447,68.29850746268657,0.0,26.500097259480217
nhlv1,umda,False,4,46,50,13,utility_only,14,0.0,86.56716417910447,74.53731343283582,0.0,25.480701218742837
nhlv1,umda,False,5,47,50,13,utility_only,14,0.0,88.05970149253731,77.28358208955224,0.0,23.334567522746696
nhlv1,umda,False,6,48,50,13,utility_only,9,0.0,83.5820895522388,59.76119402985075,0.0,25.32693257404184
nhlv1,umda,False,7,49,50,13,utility_only,33,0.0,86.56716417910447,82.89552238805969,0.0,26.51549129432667
nhlv1,umda,False,8,50,50,13,utility_only,24,0.0,82.08955223880598,78.56716417910448,0.0,26.24844815290196
nhlv1,umda,False,9,51,50,13,utility_only,32,0.0,86.56716417910447,82.41791044776119,0.0,28.337663087101404
nhlv1,emna,True,0,42,50,13,utility_only,9,0.0,98.50746268656717,80.95522388059702,0.0,30.67354587615613
nhlv1,emna,True,1,43,50,13,utility_only,11,2.9842794901924213e-13,100.0,88.11940298507463,0.0,32.679744793700806
nhlv1,emna,True,2,44,50,13,utility_only,13,0.0,98.50746268656717,91.76119402985074,0.0,32.94413080495685
nhlv1,emna,True,3,45,50,13,utility_only,13,0.0,100.0,90.17910447761194,0.0,30.18002092578338
nhlv1,emna,True,4,46,50,13,utility_only,14,1.9539925233402755e-14,100.0,93.82089552238806,0.0,32.471648659809006
nhlv1,emna,True,5,47,50,13,utility_only,11,0.0,98.50746268656717,83.70149253731343,0.0,31.55061878409026
nhlv1,emna,True,6,48,50,13,utility_only,9,0.0,95.52238805970148,70.955223880597,0.0,30.055290802950594
nhlv1,emna,True,7,49,50,13,utility_only,12,5.412559289652563e-12,100.0,90.59701492537312,0.0,33.18921238623258
nhlv1,emna,True,8,50,50,13,utility_only,11,0.0,100.0,90.62686567164177,0.0,32.97792304179114
nhlv1,emna,True,9,51,50,13,utility_only,12,6.417799625069165e-11,100.0,93.61194029850743,0.0,30.22266318179476
nhlv1,emna,False,0,42,50,13,utility_only,11,0.0,100.0,85.55223880597015,0.0,31.06347084553037
nhlv1,emna,False,1,43,50,13,utility_only,10,3.659295089164516e-13,100.0,86.8955223880597,0.0,33.75940905615109
nhlv1,emna,False,2,44,50,13,utility_only,15,0.0,100.0,88.92537313432832,0.0,31.517972703606446
nhlv1,emna,False,3,45,50,13,utility_only,13,0.0,100.0,92.77611940298507,0.0,31.981902411833172
nhlv1,emna,False,4,46,50,13,utility_only,14,0.0,100.0,90.6268656716418,0.0,34.81028121728088
nhlv1,emna,False,5,47,50,13,utility_only,14,0.0,100.0,92.56716417910448,0.0,33.33517086352593
nhlv1,emna,False,6,48,50,13,utility_only,10,0.0,98.50746268656717,77.85074626865674,0.0,32.19925672830949
nhlv1,emna,False,7,49,50,13,utility_only,13,9.054446081790955e-11,100.0,87.16417910447761,0.0,31.08609404023413
nhlv1,emna,False,8,50,50,13,utility_only,10,3.154809746774845e-12,100.0,90.6268656716418,0.0,32.51609808843573
nhlv1,emna,False,9,51,50,13,utility_only,13,2.8588686973307628e-11,100.0,93.28358208955224,0.0,35.99660002304419
nhlv1,keda,True,0,42,400,13,utility_only,7,0.0,95.52238805970148,78.67910447761194,0.0,29.104623125427807
nhlv1,keda,True,1,43,400,13,utility_only,8,0.0,97.01492537313432,80.97761194029852,0.0,30.8683940520636
nhlv1,keda,True,5,47,400,13,utility_only,10,0.0,97.01492537313432,84.06716417910448,0.0,29.492779830067555
