fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
binary,top70,13,20,2,6.140000,52.08,4.651914,31.149041,1308.143809,584.938863
binary,top70,13,20,3,5.696000,56.01,4.593601,31.469273,1319.872008,580.960855
binary,top70,13,20,4,5.228000,58.13,4.621315,31.109230,1331.745412,577.682405
binary,top70,13,20,5,4.360000,62.19,4.583247,31.128765,1342.615779,575.445329
binary,top70,13,20,6,3.772000,65.72,4.632684,31.177525,1347.438248,573.699867
binary,top70,13,20,7,3.204000,68.59,4.640098,31.210796,1356.869271,572.467279
binary,top70,13,20,8,2.776000,69.67,4.624445,30.999209,1363.014019,569.478264
binary,top70,13,20,9,2.612000,70.34,4.708898,30.977131,1368.094064,567.512303
binary,top70,13,20,10,2.376000,70.91,4.695450,31.026969,1375.056758,567.820635
binary,top70,13,20,11,1.944000,72.73,4.695150,30.977324,1378.653256,565.162321
binary,top70,13,20,12,1.728000,74.40,4.701034,30.595482,1387.822079,565.000272
binary,top70,13,20,13,1.568000,75.31,4.763753,30.971960,1391.002373,564.801144
binary,top70,13,20,14,1.176000,77.07,4.745444,31.266847,1395.696207,565.183881
binary,top70,13,20,15,1.224000,76.13,4.761822,31.447583,1400.180096,563.589607
binary,top70,13,20,16,1.052000,76.85,4.761025,31.430798,1400.899917,563.988403
binary,top70,13,20,17,1.008000,76.74,4.751082,31.235966,1404.879226,561.554020
binary,top70,13,20,18,0.960000,76.60,4.766903,31.197771,1405.638333,561.468834
binary,top70,13,20,19,0.984000,76.58,4.746185,31.419100,1407.651095,562.801387
binary,top70,13,20,20,0.928000,76.63,4.764003,31.450184,1408.546291,562.875570
binary,top70,13,20,21,0.892000,77.46,4.762602,31.445381,1410.371718,561.024995
binary,top70,13,20,22,0.788000,77.59,4.805540,31.375522,1411.610041,561.278173
binary,top70,13,20,23,0.800000,77.56,4.813627,31.466932,1412.581844,560.740652
binary,top70,13,20,24,0.804000,77.80,4.799583,31.441961,1414.158191,562.581626
binary,top70,13,20,25,0.764000,77.83,4.785637,31.536843,1414.697691,562.122081
binary,top70,13,20,26,0.780000,77.97,4.785281,31.516408,1414.497170,562.482430
binary,top90,3,5,1,1.480000,46.78,4.704332,32.765287,1261.684594,617.219775
binary,top90,3,5,2,1.176000,51.76,4.679607,31.010488,1307.545716,584.969240
binary,top90,3,5,3,1.236000,52.19,4.670168,31.419983,1320.498387,581.547366
binary,top90,3,5,4,1.024000,53.67,4.672862,31.152302,1330.692771,578.127376
binary,top90,3,5,5,0.812000,59.90,4.646600,30.918877,1342.152467,577.523958
binary,top90,3,5,6,0.660000,63.10,4.667621,30.672661,1346.988770,574.225450
binary,top90,3,5,7,0.444000,66.92,4.638661,30.762478,1357.861235,572.582430
binary,top90,3,5,8,0.392000,67.16,4.613755,30.408608,1366.875475,570.326183
binary,top90,3,5,9,0.396000,66.20,4.613373,30.525758,1371.269881,568.530590
binary,top90,3,5,10,0.352000,68.30,4.568657,30.537231,1375.590966,570.241075
binary,top90,3,5,11,0.312000,68.13,4.594726,30.522341,1379.746414,568.787439
binary,top90,3,5,12,0.256000,70.28,4.600409,30.269546,1385.731386,567.887765
binary,top90,3,5,13,0.212000,70.67,4.650966,30.314486,1386.534792,569.116378
binary,top90,3,5,14,0.192000,72.07,4.642002,30.449112,1389.797097,567.173050
binary,top90,3,5,15,0.160000,73.24,4.679189,30.547634,1393.727317,566.120191
binary,top90,3,5,16,0.148000,72.37,4.677582,30.545420,1395.199815,565.081342
binary,top90,3,5,17,0.128000,72.98,4.710794,30.359307,1395.586298,563.503221
binary,top90,3,5,18,0.112000,72.99,4.705405,30.368058,1396.511849,562.942137
binary,top90,7,10,1,3.608000,46.78,4.704332,32.765287,1261.684594,617.219775
binary,top90,7,10,2,3.208000,52.10,4.654943,31.056505,1308.500763,584.991127
binary,top90,7,10,3,2.876000,56.49,4.605399,31.491340,1320.024381,580.866998
binary,top90,7,10,4,2.636000,58.16,4.613574,31.285751,1332.040688,578.460982
