net,optimizer,min_max_ut,rep,seed,size_gen,n_decision_rules,mode,stop_generation,best_fitness,best_accuracy,mean_accuracy,mse_chance,mse_utility,cpu_per_gen,cpu_total
bypass2,keda,True,2,44,400,2,both,7,0.0,95.0,59.45,0.5547752980184029,6.2945171331995775,0.4285714285714285,3.0
bypass2,keda,True,3,45,400,2,both,4,0.0,90.0,54.0875,0.3998395715795149,5.446848630307172,0.52734375,2.109375
bypass2,keda,True,4,46,400,2,both,4,0.0,95.0,56.45,0.4911210605470936,6.852069380032651,0.45703125,1.828125
bypass2,keda,True,5,47,400,2,both,4,0.0,95.0,55.725,0.7412348230697166,5.539026067638454,0.5078125,2.03125
bypass2,keda,True,6,48,400,2,both,6,0.0,95.0,62.675,0.6320252530769715,5.601985569524776,0.4036458333333333,2.421875
bypass2,keda,True,7,49,400,2,both,4,0.0,90.0,56.7625,0.6356059316324325,5.609065297603687,0.35546875,1.421875
bypass2,keda,True,8,50,400,2,both,5,0.0,95.0,57.7,0.7720628514515508,6.874004901493231,0.34375,1.71875
bypass2,keda,True,9,51,400,2,both,6,0.0,95.0,61.5125,0.5772830101972128,6.821831669428295,0.34375,2.0625
bypass2,keda,False,0,42,400,2,both,5,0.0,95.0,59.025,0.6314364861037531,8.474583242164341,0.36875,1.84375
bypass2,keda,False,1,43,400,2,both,2,0.0,85.0,51.675,0.4577248883548823,6.717622041220647,0.3515625,0.703125
bypass2,keda,False,2,44,400,2,both,9,0.0,100.0,65.4875,0.7845217010993625,10.058926388457753,0.3472222222222222,3.125
bypass2,keda,False,3,45,400,2,both,5,0.0,90.0,57.175,0.6500551537207944,9.431575801370732,0.3625,1.8125
bypass2,keda,False,4,46,400,2,both,5,0.0,90.0,58.425,0.6550834131417814,11.489558066938589,0.3625,1.8125
bypass2,keda,False,5,47,400,2,both,5,0.0,95.0,58.8625,0.6682236494487838,6.037824802313488,0.346875,1.734375
bypass2,keda,False,6,48,400,2,both,6,0.0,95.0,59.7625,0.6171405030210267,7.12980795944453,0.390625,2.34375
bypass2,keda,False,7,49,400,2,both,5,0.0,95.0,56.2875,0.5233292001722271,6.886770092133661,0.371875,1.859375
bypass2,keda,False,8,50,400,2,both,5,0.0,95.0,56.325,0.7884878962410526,9.259312126661111,0.38125,1.90625
bypass2,keda,False,9,51,400,2,both,7,0.0,100.0,60.675,0.7502675131762842,8.372970444251555,0.3638392857142857,2.546875
bypass2,egna,True,0,42,50,2,both,6,0.0,90.0,53.2,0.7000495331515002,7.3728976114774945,1.21875,7.3125
bypass2,egna,True,1,43,50,2,both,1,0.0,80.0,49.2,0.4836580780355964,9.970970834918624,0.0625,0.0625
bypass2,egna,True,2,44,50,2,both,7,0.0,80.0,57.3,0.6484475015418312,6.104641646598679,1.1830357142857142,8.28125
bypass2,egna,True,3,45,50,2,both,5,0.0,75.0,55.6,0.7669462258684802,10.493997117608384,1.26875,6.34375
bypass2,egna,True,4,46,50,2,both,5,0.0,75.0,49.9,0.9144643608205956,6.5907172030639645,1.228125,6.140625
bypass2,egna,True,5,47,50,2,both,8,0.0,85.0,55.1,0.843791556933978,14.967846002913266,1.109375,8.875
bypass2,egna,True,6,48,50,2,both,5,0.0,95.0,65.2,1.1781815358555616,10.165423947097366,1.146875,5.734375
bypass2,egna,True,7,49,50,2,both,6,0.0,85.0,59.3,0.5960201047118177,5.698058778393926,1.1953125,7.171875
bypass2,egna,True,8,50,50,2,both,5,0.0,95.0,58.3,1.1577075931785563,6.643057503980779,1.365625,6.828125
bypass2,egna,True,9,51,50,2,both,4,0.0,75.0,55.4,0.7602994435745479,7.260107161447016,1.2421875,4.96875
bypass2,egna,False,0,42,50,2,both,6,0.0,75.0,51.2,0.7731602967357027,9.673941157517492,1.4791666666666667,8.875
bypass2,egna,False,1,43,50,2,both,1,0.0,80.0,49.7,0.6952001286948154,7.486583042814904,0.078125,0.078125
bypass2,egna,False,2,44,50,2,both,3,0.0,95.0,56.7,0.8079548046758441,11.5097640330022,1.7604166666666667,5.28125
bypass2,egna,False,3,45,50,2,both,6,0.0,85.0,56.3,0.9666401042840846,9.849970880965856,1.5546875,9.328125
bypass2,egna,False,4,46,50,2,both,6,0.0,95.0,64.5,0.6311662345515421,14.110691523822211,1.5338541666666667,9.203125
