fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,best_fitness_mean,best_fitness_std,mean_accuracy_mean,mean_accuracy_std,best_accuracy_mean,best_accuracy_std,best_accuracy_min,best_accuracy_max,best_mse_chance_mean,best_mse_chance_std,best_mse_chance_min,best_mse_chance_max,mean_mse_chance_mean,mean_mse_chance_std,mean_mse_chance_min,mean_mse_chance_max,best_mse_utility_mean,best_mse_utility_std,best_mse_utility_min,best_mse_utility_max,mean_mse_utility_mean,mean_mse_utility_std,mean_mse_utility_min,mean_mse_utility_max
margin,top10,8,40,20,13.60,1.96,10,15,0.000000,0.000000,69.32,3.69,95.00,0.00,95.00,95.00,0.616158,0.089006,0.506362,0.741781,1.492245,0.099726,1.360451,1.617926,3.901813,0.917819,2.509378,5.280211,14.822096,1.863912,11.997017,17.214104
margin,top10,12,60,20,23.20,11.44,13,44,0.000000,0.000000,82.47,3.33,95.00,3.16,90.00,100.00,0.720116,0.109899,0.592810,0.858278,1.377490,0.170384,1.169253,1.673434,11.279153,7.828428,3.263012,21.436095,17.318551,6.279170,9.953564,25.980740
margin,top30,1,5,20,2.40,0.80,1,3,0.000000,0.000000,51.62,1.39,88.00,4.00,85.00,95.00,0.624445,0.064983,0.560558,0.740023,1.488667,0.038591,1.432092,1.539729,5.543260,0.593734,4.770472,6.345298,18.023998,1.892348,14.350762,19.752950
margin,top30,2,10,20,6.40,1.85,3,8,0.000000,0.000000,52.77,2.85,87.00,9.80,75.00,95.00,0.642820,0.074039,0.534519,0.760458,1.403229,0.064175,1.284750,1.457116,4.516414,1.079401,3.089392,5.993480,15.711931,1.494078,12.852380,16.875944
margin,top30,4,20,20,12.20,2.79,9,17,0.000000,0.000000,61.47,4.56,90.00,4.47,85.00,95.00,0.570976,0.080620,0.472451,0.676242,1.407944,0.149826,1.225336,1.642737,5.151885,0.753761,4.179929,6.269351,15.907385,1.872831,13.132079,18.543291
margin,top30,8,40,20,16.80,2.56,12,19,0.000000,0.000000,76.33,3.06,94.00,2.00,90.00,95.00,0.633388,0.077117,0.533134,0.740280,1.465905,0.073312,1.372519,1.553330,5.710945,1.616163,4.000872,8.323395,14.417158,2.024042,12.002666,17.024033
margin,top30,12,60,20,25.60,11.39,15,46,0.000000,0.000000,84.65,3.90,96.00,3.74,90.00,100.00,0.779236,0.187630,0.545624,1.001087,1.386187,0.187505,1.173509,1.695367,10.777940,8.272950,2.206013,21.687303,17.249251,6.060975,11.325091,25.734518
margin,top70,1,5,20,7.40,1.02,6,9,0.000000,0.000000,53.53,3.47,84.00,6.63,75.00,95.00,0.583319,0.076534,0.437398,0.646012,1.532556,0.054144,1.474000,1.603750,5.232809,1.799363,3.616764,8.623382,17.299595,1.519382,15.188178,18.791163
margin,top70,2,10,20,10.80,3.37,7,17,0.000000,0.000000,58.06,6.24,88.00,6.00,80.00,95.00,0.614249,0.119134,0.467854,0.798875,1.348327,0.097313,1.176283,1.460296,4.604008,1.146819,3.401437,6.426837,16.338945,1.429860,14.328527,17.905992
margin,top70,4,20,20,15.80,3.71,12,22,0.000000,0.000000,65.88,4.17,91.00,4.90,85.00,95.00,0.581913,0.112450,0.481947,0.798020,1.417401,0.183835,1.187856,1.714809,5.031701,1.206771,3.660861,7.071390,14.873153,1.164970,13.322852,16.711426
margin,top70,8,40,20,20.40,3.32,15,25,0.000000,0.000000,77.45,3.54,93.00,4.00,85.00,95.00,0.694154,0.095709,0.629247,0.884676,1.477029,0.066462,1.409916,1.590570,5.463810,2.133399,2.838094,8.371866,13.921065,1.279858,12.542632,16.201307
margin,top70,12,60,20,31.60,12.18,21,54,0.000000,0.000000,85.14,4.03,95.00,3.16,90.00,100.00,0.807417,0.137513,0.638883,0.981269,1.426326,0.105389,1.259693,1.572255,12.769497,6.154985,6.968675,20.553181,17.533442,5.519850,12.475077,25.536272
margin,top90,1,5,20,11.40,1.36,10,13,0.000000,0.000000,55.94,5.54,86.00,9.17,70.00,95.00,0.636842,0.153912,0.433850,0.908565,1.499755,0.099323,1.334456,1.614903,6.358431,2.187511,3.305879,9.519355,16.652711,2.846327,11.583671,19.816480
margin,top90,2,10,20,15.40,3.38,13,22,0.000000,0.000000,59.22,6.39,89.00,4.90,85.00,95.00,0.559918,0.126158,0.434764,0.797483,1.314304,0.158788,0.998037,1.418747,5.170252,1.050641,3.712272,6.521931,16.310174,2.586315,12.891247,20.713172
margin,top90,4,20,20,19.80,3.12,15,24,0.000000,0.000000,66.51,6.00,93.00,4.00,85.00,95.00,0.628460,0.086799,0.538505,0.756022,1.395534,0.222196,1.187856,1.698153,6.804764,1.201710,5.560356,8.942221,15.173811,1.565675,13.686406,17.458844
margin,top90,8,40,20,25.60,3.38,19,28,0.000000,0.000000,79.67,3.61,93.00,4.00,85.00,95.00,0.729708,0.082884,0.587388,0.816178,1.462759,0.099960,1.327293,1.570618,7.653373,2.259568,4.754148,11.243235,14.035686,1.125819,12.451020,15.772487
margin,top90,12,60,20,36.60,12.61,25,61,0.000000,0.000000,85.47,4.61,94.00,2.00,90.00,95.00,0.814443,0.103732,0.691175,0.981269,1.382164,0.135023,1.191852,1.563890,12.862664,6.096111,6.419995,20.119445,17.456249,5.602352,12.497870,25.536272
softmax,top10,1,5,20,2.00,0.89,1,3,0.000096,0.000030,51.96,1.50,86.00,2.00,85.00,90.00,0.554243,0.075907,0.416465,0.649275,1.503701,0.026095,1.462224,1.539729,5.659262,0.673515,4.770472,6.420144,18.848285,0.710081,17.760733,19.752950
softmax,top10,2,10,20,7.00,2.90,2,11,0.000430,0.000304,55.09,4.18,91.00,8.00,75.00,95.00,0.588368,0.123772,0.425001,0.808608,1.391643,0.104838,1.227901,1.522637,4.791516,0.589508,4.092733,5.632815,16.358292,1.498735,14.641339,18.839361
softmax,top10,4,20,20,12.60,2.65,9,17,0.001948,0.001011,61.98,4.20,91.00,4.90,85.00,95.00,0.595968,0.042915,0.512547,0.631038,1.423358,0.147797,1.253160,1.617082,4.998282,1.186235,3.171808,6.735284,15.271079,1.664502,13.390088,18.381891
softmax,top10,8,40,20,18.40,2.94,13,22,0.011362,0.006735,76.98,5.61,96.00,2.00,95.00,100.00,0.620672,0.065367,0.547977,0.704686,1.305626,0.054962,1.248347,1.404534,5.412753,1.639350,3.323249,7.758008,13.568110,1.349961,11.051268,14.861980
