fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,fitness,accuracy,mse
binary,top30,6,30,5,2.434000,54.30,21.273901
binary,top30,6,30,6,2.198000,55.79,21.779299
binary,top30,6,30,7,1.946000,58.03,21.504590
binary,top30,6,30,8,1.672000,60.58,21.455209
binary,top30,6,30,9,1.414000,62.42,21.407201
binary,top30,6,30,10,1.194000,64.08,21.525992
binary,top30,6,30,11,1.058000,65.46,21.315010
binary,top30,8,40,1,3.872000,50.61,22.335783
binary,top30,8,40,2,3.732000,52.02,20.745545
binary,top30,8,40,3,3.590000,52.58,20.728689
binary,top30,8,40,4,3.276000,55.39,20.943883
binary,top30,8,40,5,3.074000,55.85,20.423935
binary,top30,8,40,6,2.738000,58.84,20.934151
binary,top30,8,40,7,2.418000,60.96,20.790303
binary,top30,8,40,8,2.062000,63.99,20.061835
binary,top30,8,40,9,1.870000,65.28,20.986427
binary,top30,8,40,10,1.638000,67.38,21.130812
binary,top30,8,40,11,1.472000,68.24,21.581609
binary,top30,8,40,12,1.470000,69.34,21.923460
binary,top30,8,40,13,1.334000,70.04,21.702917
binary,top70,1,5,1,0.504000,50.08,23.219675
binary,top70,1,5,2,0.448000,49.45,22.534252
binary,top70,1,5,3,0.322000,50.51,22.010598
binary,top70,1,5,4,0.304000,51.13,22.861322
binary,top70,1,5,5,0.244000,50.75,22.630575
binary,top70,2,10,1,0.994000,49.76,22.926699
binary,top70,2,10,2,0.894000,51.64,21.596306
binary,top70,2,10,3,0.782000,52.62,21.972346
binary,top70,2,10,4,0.746000,52.10,21.776188
binary,top70,2,10,5,0.578000,54.22,21.645869
binary,top70,2,10,6,0.484000,54.77,21.158499
binary,top70,2,10,7,0.362000,55.42,21.466977
binary,top70,2,10,8,0.362000,55.24,21.673576
binary,top70,2,10,9,0.330000,55.46,21.616658
binary,top70,2,10,10,0.314000,55.79,21.637853
binary,top70,4,20,1,1.978000,50.43,22.032068
binary,top70,4,20,2,1.884000,50.31,20.504601
binary,top70,4,20,3,1.740000,50.34,19.899144
binary,top70,4,20,4,1.660000,52.08,19.983796
binary,top70,4,20,5,1.510000,52.85,19.278828
binary,top70,4,20,6,1.348000,53.87,18.210301
binary,top70,4,20,7,1.226000,56.14,18.773403
binary,top70,4,20,8,1.066000,56.38,18.859108
binary,top70,4,20,9,0.850000,57.75,17.784891
binary,top70,4,20,10,0.704000,59.65,17.776588
binary,top70,4,20,11,0.608000,60.37,17.984735
binary,top70,4,20,12,0.550000,60.18,18.063447
binary,top70,4,20,13,0.484000,59.95,18.258495
binary,top70,4,20,14,0.442000,60.25,17.851138
binary,top70,4,20,15,0.366000,60.34,17.627642
