mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
both,non_symmetric,1.0,1.0,margin,top50,2,10,9,1.851254,70.53,1.915153,22.524159,1.856196,40.684471
both,non_symmetric,1.0,1.0,margin,top50,2,10,10,1.719097,74.38,1.932963,22.571854,1.622227,41.072467
both,non_symmetric,1.0,1.0,margin,top50,2,10,11,1.536382,78.04,1.942580,22.500805,1.451902,41.281984
both,non_symmetric,1.0,1.0,margin,top50,2,10,12,1.693331,79.83,1.960706,22.791457,1.350112,41.290605
both,non_symmetric,1.0,1.0,margin,top50,2,10,13,1.556870,81.85,2.002344,22.763250,1.236098,41.384774
both,non_symmetric,1.0,1.0,margin,top50,2,10,14,1.581765,82.91,1.998199,22.656879,1.181783,41.491609
both,non_symmetric,1.0,1.0,margin,top50,2,10,15,1.573432,84.37,2.005542,22.747383,1.136327,41.464723
both,non_symmetric,1.0,1.0,margin,top50,2,10,16,1.543126,85.85,2.001966,22.691204,1.104110,41.473478
both,non_symmetric,1.0,1.0,margin,top50,2,10,17,1.657391,86.44,1.989629,22.564555,1.078637,41.506037
both,non_symmetric,1.0,1.0,margin,top50,2,10,18,1.615858,87.24,1.973697,22.475053,1.059663,41.441669
both,non_symmetric,1.0,1.0,margin,top50,2,10,19,1.621995,87.60,1.994452,22.345872,1.050676,41.326159
both,non_symmetric,1.0,1.0,margin,top50,2,10,20,1.640818,87.95,1.976780,22.266652,1.045081,41.229585
both,non_symmetric,1.0,1.0,margin,top50,2,10,21,1.569723,88.05,1.999335,22.329805,1.038502,41.174367
both,non_symmetric,1.0,1.0,margin,top50,4,20,1,7.602999,50.01,1.507400,18.993726,11.568111,37.116684
both,non_symmetric,1.0,1.0,margin,top50,4,20,2,6.122011,52.12,1.609569,19.124927,8.937263,37.148905
both,non_symmetric,1.0,1.0,margin,top50,4,20,3,5.740740,53.33,1.697007,20.128526,6.817249,38.032956
both,non_symmetric,1.0,1.0,margin,top50,4,20,4,5.405549,55.17,1.797976,20.801090,4.918243,38.909484
both,non_symmetric,1.0,1.0,margin,top50,4,20,5,5.131292,58.34,1.860939,21.528595,3.597399,39.606648
both,non_symmetric,1.0,1.0,margin,top50,4,20,6,4.822695,62.61,1.905346,21.773460,2.694724,39.943269
both,non_symmetric,1.0,1.0,margin,top50,4,20,7,4.573955,67.18,1.939077,22.253626,1.892164,40.381728
both,non_symmetric,1.0,1.0,margin,top50,4,20,8,4.224534,73.12,1.959799,22.673722,1.355365,40.660575
both,non_symmetric,1.0,1.0,margin,top50,4,20,9,4.028900,77.73,1.967309,22.839902,1.008481,41.251922
